time[s];Vsg[mV];pH/ion concentration [mM]
5.40;2337.05;-3.300
10.39;2334.80;-3.260
15.37;2333.95;-3.250
20.36;2342.70;-3.400
25.34;2325.35;-3.100
30.33;2318.90;-2.980
35.31;2330.00;-3.180
40.30;2333.15;-3.230
45.28;2334.30;-3.250
50.27;2334.85;-3.260
55.26;2335.90;-3.280
60.24;2336.40;-3.290
65.18;2336.95;-3.300
70.16;2339.57;-3.348
75.14;2336.47;-3.290
80.13;2336.80;-3.300
85.11;2336.54;-3.298
90.10;2337.15;-3.304
95.08;2337.56;-3.310
100.07;2337.90;-3.318
105.06;2338.20;-3.320
110.04;2338.09;-3.320
115.03;2337.95;-3.320
120.02;2338.21;-3.320
125.00;2337.73;-3.312
130.27;2338.05;-3.320
135.26;2338.50;-3.330
140.24;2338.45;-3.330
145.23;2339.15;-3.340
150.21;2339.25;-3.340
155.20;2339.20;-3.340
160.17;2339.35;-3.340
165.11;2339.05;-3.340
170.10;2339.20;-3.340
175.09;2339.40;-3.340
180.07;2339.40;-3.340
185.05;2339.50;-3.350
190.04;2339.35;-3.340
195.03;2339.10;-3.340
200.01;2338.60;-3.330
205.60;2338.11;-3.320
210.59;2337.90;-3.320
215.57;2337.95;-3.320
220.56;2337.62;-3.310
225.54;2337.56;-3.310
230.53;2337.49;-3.310
235.51;2337.63;-3.310
240.50;2337.26;-3.310
245.49;2337.24;-3.310
250.47;2337.28;-3.310
255.46;2337.32;-3.310
260.45;2337.16;-3.302
265.43;2337.15;-3.300
270.42;2337.28;-3.308
275.40;2337.01;-3.300
280.39;2337.13;-3.300
285.02;2337.05;-3.300
290.59;2337.00;-3.300
295.57;2337.00;-3.300
300.56;2336.95;-3.300
305.55;2337.10;-3.300
310.53;2337.15;-3.300
315.52;2336.90;-3.300
320.50;2337.00;-3.300
325.49;2336.85;-3.300
330.47;2336.70;-3.300
335.46;2336.80;-3.300
340.45;2336.65;-3.300
345.43;2336.80;-3.300
350.42;2336.85;-3.300
355.40;2336.75;-3.300
360.39;2336.90;-3.300
365.37;2336.80;-3.300
370.36;2336.70;-3.300
375.35;2336.75;-3.300
380.33;2336.55;-3.290
385.32;2336.85;-3.300
390.30;2336.75;-3.300
395.29;2336.70;-3.300
400.28;2336.60;-3.300
405.26;2336.65;-3.300
410.25;2336.75;-3.300
415.23;2336.55;-3.290
420.22;2336.70;-3.300
425.20;2336.65;-3.300
430.19;2336.70;-3.300
435.18;2336.75;-3.300
440.16;2336.75;-3.300
445.15;2336.65;-3.300
450.14;2336.60;-3.300
455.12;2336.65;-3.300
460.11;2336.75;-3.300
465.09;2336.90;-3.300
470.08;2336.90;-3.300
475.07;2336.55;-3.290
480.05;2336.80;-3.300
485.04;2336.70;-3.300
490.02;2336.65;-3.300
495.01;2336.50;-3.290
500.28;2336.60;-3.300
505.27;2336.70;-3.300
510.25;2336.90;-3.300
515.24;2336.80;-3.300
520.22;2336.85;-3.300
525.18;2336.70;-3.300
530.13;2336.90;-3.300
535.11;2336.70;-3.300
540.11;2336.70;-3.300
545.09;2336.80;-3.300
550.07;2336.90;-3.300
555.06;2336.85;-3.300
560.04;2336.55;-3.290
565.04;2336.95;-3.300
570.03;2336.95;-3.300
575.01;2336.95;-3.300
580.59;2336.83;-3.300
585.59;2336.71;-3.300
590.57;2336.84;-3.300
595.55;2336.80;-3.300
600.53;2336.74;-3.300
605.52;2336.83;-3.300
610.50;2336.88;-3.300
615.50;2336.96;-3.300
620.48;2336.85;-3.300
625.47;2336.89;-3.300
630.40;2336.87;-3.300
635.39;2337.11;-3.300
640.37;2336.89;-3.300
645.35;2336.91;-3.300
650.34;2337.04;-3.300
655.33;2336.85;-3.300
660.32;2336.80;-3.300
665.30;2336.92;-3.300
670.29;2336.95;-3.300
675.27;2336.90;-3.300
680.25;2336.82;-3.300
685.24;2336.81;-3.300
690.23;2336.95;-3.300
695.22;2336.79;-3.300
700.20;2336.87;-3.300
705.18;2336.70;-3.298
710.17;2336.81;-3.300
715.15;2336.78;-3.300
720.15;2336.94;-3.300
725.14;2337.05;-3.300
730.12;2336.85;-3.300
735.11;2337.15;-3.308
740.08;2336.68;-3.294
745.30;2336.95;-3.300
750.29;2337.05;-3.300
755.28;2331.95;-3.210
760.26;2332.10;-3.220
765.25;2327.50;-3.140
770.23;2334.90;-3.270
775.22;2333.15;-3.230
780.20;2334.35;-3.260
785.19;2334.60;-3.260
790.18;2334.90;-3.270
795.16;2333.25;-3.240
800.15;2335.20;-3.270
805.14;2336.60;-3.300
810.12;2337.60;-3.310
815.05;2337.43;-3.310
820.27;2337.60;-3.310
825.22;2338.00;-3.320
830.18;2338.00;-3.320
835.16;2338.40;-3.330
840.15;2338.60;-3.330
845.14;2338.65;-3.330
850.12;2338.40;-3.330
855.10;2337.60;-3.310
860.08;2337.40;-3.310
865.07;2337.35;-3.310
870.07;2337.15;-3.300
875.05;2337.05;-3.300
880.03;2337.20;-3.310
885.02;2337.45;-3.310
890.00;2336.95;-3.300
895.27;2337.25;-3.310
900.25;2337.35;-3.310
905.24;2337.05;-3.300
910.24;2337.15;-3.300
915.22;2337.20;-3.310
920.20;2337.45;-3.310
925.18;2337.10;-3.300
930.17;2337.30;-3.310
935.15;2337.40;-3.310
940.15;2337.35;-3.310
945.13;2337.35;-3.310
950.12;2337.10;-3.300
955.10;2337.30;-3.310
960.08;2337.15;-3.300
965.07;2338.00;-3.320
970.07;2337.50;-3.310
975.05;2337.20;-3.310
980.03;2337.45;-3.310
985.02;2337.20;-3.310
990.61;2336.35;-3.290
995.59;2336.95;-3.300
1000.58;2336.75;-3.300
1005.56;2337.25;-3.310
1010.54;2337.10;-3.300
1015.54;2337.70;-3.310
1020.52;2337.10;-3.300
1025.50;2337.10;-3.300
1030.49;2337.10;-3.300
1035.47;2337.00;-3.300
1040.45;2337.15;-3.300
1045.45;2337.10;-3.300
1050.44;2337.15;-3.300
1055.42;2337.25;-3.310
1060.40;2337.20;-3.310
1065.39;2335.80;-3.280
1070.37;2337.25;-3.310
1075.37;2337.05;-3.300
1080.35;2337.15;-3.300
1085.33;2337.15;-3.300
1090.32;2337.30;-3.310
1095.30;2337.25;-3.310
1100.29;2337.25;-3.310
1105.27;2337.10;-3.300
1110.27;2337.20;-3.310
1115.25;2337.30;-3.310
1120.23;2337.40;-3.310
1125.22;2337.25;-3.310
1130.20;2337.20;-3.310
1135.18;2337.30;-3.310
1140.18;2337.30;-3.310
1145.17;2337.40;-3.310
1150.15;2337.30;-3.310
1155.13;2337.25;-3.310
1160.11;2337.30;-3.310
1165.10;2337.15;-3.300
1170.10;2337.40;-3.310
1175.08;2337.25;-3.310
1180.06;2337.50;-3.310
1185.05;2337.45;-3.310
1190.03;2337.50;-3.310
1195.01;2337.50;-3.310
1200.01;2337.35;-3.310
1205.28;2337.80;-3.320
1210.26;2337.45;-3.310
1215.24;2337.50;-3.310
1220.23;2337.35;-3.310
1225.22;2337.35;-3.310
1230.21;2337.60;-3.310
1235.19;2337.55;-3.310
1240.17;2337.40;-3.310
1245.16;2337.65;-3.310
1250.14;2337.65;-3.310
1255.13;2337.45;-3.310
1260.12;2337.55;-3.310
1265.08;2337.60;-3.310
1270.03;2337.65;-3.310
1275.01;2337.75;-3.320
1280.60;2337.63;-3.310
1285.59;2337.55;-3.310
1290.57;2334.67;-3.260
1295.56;2337.56;-3.310
1300.54;2337.60;-3.310
1305.54;2338.28;-3.322
1310.52;2337.56;-3.310
1315.51;2337.38;-3.306
1320.49;2337.91;-3.318
1325.47;2337.86;-3.316
1330.47;2337.75;-3.320
1335.46;2337.58;-3.310
1340.44;2337.66;-3.310
1345.42;2337.70;-3.310
1350.41;2337.55;-3.310
1355.39;2337.63;-3.310
1360.37;2337.62;-3.310
1365.37;2337.60;-3.310
1370.35;2337.65;-3.310
