time[s];Vsg[mV];pH/ion concentration [mM]
5.40;2416.84;-4.700
10.39;2417.09;-4.700
15.37;2417.02;-4.700
20.36;2417.03;-4.700
25.33;2416.84;-4.700
30.28;2416.93;-4.700
35.24;2416.86;-4.700
40.23;2416.98;-4.700
45.21;2416.92;-4.700
50.19;2416.85;-4.700
55.19;2416.83;-4.700
60.18;2417.11;-4.700
65.10;2416.84;-4.700
70.08;2416.80;-4.700
75.07;2416.94;-4.700
80.06;2417.02;-4.700
85.05;2416.92;-4.700
90.02;2416.90;-4.700
95.01;2416.93;-4.700
100.27;2416.75;-4.700
105.26;2416.80;-4.700
110.25;2416.75;-4.700
115.24;2416.90;-4.700
120.22;2416.50;-4.690
125.20;2416.35;-4.690
130.18;2416.40;-4.690
135.17;2416.25;-4.690
140.15;2416.20;-4.690
145.13;2416.15;-4.690
150.12;2416.00;-4.680
155.11;2415.95;-4.680
160.09;2416.10;-4.690
165.09;2415.75;-4.680
170.07;2415.70;-4.680
175.06;2415.55;-4.680
180.04;2415.45;-4.670
185.03;2415.55;-4.680
190.01;2415.25;-4.670
195.27;2415.05;-4.670
200.26;2415.25;-4.670
205.24;2415.15;-4.670
210.23;2414.95;-4.670
215.21;2414.75;-4.660
220.20;2414.75;-4.660
225.18;2414.55;-4.660
230.16;2414.05;-4.650
235.15;2414.00;-4.650
240.13;2414.30;-4.650
245.12;2414.15;-4.650
250.10;2413.85;-4.650
255.08;2413.75;-4.650
260.07;2413.45;-4.640
265.00;2413.80;-4.650
270.58;2413.42;-4.640
275.57;2413.49;-4.640
280.55;2413.18;-4.632
285.53;2413.14;-4.630
290.51;2412.93;-4.630
295.51;2412.85;-4.630
300.50;2412.58;-4.620
305.48;2412.48;-4.620
310.46;2412.54;-4.620
315.44;2412.33;-4.620
320.42;2412.43;-4.620
325.41;2412.16;-4.620
330.39;2412.17;-4.618
335.38;2411.94;-4.610
340.36;2411.95;-4.610
345.34;2411.69;-4.610
350.33;2411.53;-4.608
355.26;2410.95;-4.600
360.21;2411.24;-4.600
365.15;2411.09;-4.600
370.10;2411.34;-4.600
375.08;2411.16;-4.600
380.07;2411.37;-4.600
385.05;2411.23;-4.600
390.03;2411.13;-4.600
395.03;2411.11;-4.600
400.00;2411.43;-4.608
405.27;2411.25;-4.600
410.26;2411.25;-4.600
415.24;2410.95;-4.600
420.23;2410.90;-4.590
425.21;2410.80;-4.590
430.20;2410.65;-4.590
435.18;2410.75;-4.590
440.17;2410.55;-4.590
445.16;2410.35;-4.590
450.13;2410.45;-4.590
455.13;2410.35;-4.590
460.11;2410.10;-4.580
465.09;2410.10;-4.580
470.08;2409.90;-4.580
475.06;2409.85;-4.580
480.04;2409.70;-4.570
485.02;2409.55;-4.570
490.01;2409.65;-4.570
495.28;2409.55;-4.570
500.26;2409.35;-4.570
505.26;2408.90;-4.560
510.23;2408.75;-4.560
515.22;2408.55;-4.550
520.20;2408.55;-4.550
525.18;2408.15;-4.550
530.17;2408.20;-4.550
535.16;2407.85;-4.540
540.15;2407.75;-4.540
545.13;2407.60;-4.540
550.11;2407.65;-4.540
555.10;2407.35;-4.530
560.08;2407.30;-4.530
565.06;2406.95;-4.530
570.04;2407.00;-4.530
575.03;2407.20;-4.530
580.01;2406.85;-4.520
585.59;2406.64;-4.520
590.59;2406.69;-4.520
595.57;2406.40;-4.520
600.56;2406.38;-4.520
605.54;2406.36;-4.520
610.52;2406.34;-4.512
615.51;2405.94;-4.510
620.49;2405.84;-4.510
625.47;2405.69;-4.500
630.46;2405.71;-4.500
635.45;2405.66;-4.500
640.44;2405.46;-4.500
645.42;2405.44;-4.500
650.40;2405.50;-4.500
655.38;2405.20;-4.492
660.37;2405.30;-4.500
665.30;2404.77;-4.490
670.27;2405.07;-4.490
675.26;2404.95;-4.490
680.24;2404.72;-4.490
685.23;2404.65;-4.490
690.22;2404.60;-4.484
695.19;2404.65;-4.486
700.18;2404.48;-4.480
705.18;2404.29;-4.480
710.16;2404.47;-4.480
715.15;2404.26;-4.480
720.13;2404.24;-4.480
725.11;2404.19;-4.480
730.09;2403.94;-4.470
735.07;2403.73;-4.470
740.06;2403.59;-4.470
745.04;2403.59;-4.470
750.04;2403.69;-4.470
755.02;2403.61;-4.470
760.00;2403.42;-4.460
765.26;2402.95;-4.460
770.25;2402.95;-4.460
775.23;2402.80;-4.450
780.21;2403.00;-4.460
785.21;2402.75;-4.450
790.18;2402.80;-4.450
795.18;2402.75;-4.450
800.16;2402.55;-4.450
805.15;2402.50;-4.450
810.13;2402.50;-4.450
815.11;2402.40;-4.450
820.10;2402.25;-4.440
825.08;2402.30;-4.440
830.06;2401.90;-4.440
835.04;2401.85;-4.440
840.03;2401.80;-4.440
845.03;2401.75;-4.430
850.01;2401.70;-4.430
855.59;2401.55;-4.430
860.58;2401.34;-4.430
865.56;2401.34;-4.430
870.54;2401.17;-4.422
875.52;2401.38;-4.430
880.51;2401.19;-4.420
885.49;2401.30;-4.428
890.48;2400.83;-4.420
895.46;2400.71;-4.420
900.45;2400.70;-4.420
905.43;2400.59;-4.410
910.42;2400.56;-4.410
915.40;2400.46;-4.410
920.39;2400.28;-4.410
925.37;2400.21;-4.410
930.02;2399.95;-4.400
935.57;2399.90;-4.400
940.55;2399.80;-4.400
945.53;2399.85;-4.400
950.51;2399.60;-4.400
955.51;2399.65;-4.400
960.48;2399.40;-4.390
965.47;2399.50;-4.400
970.46;2399.30;-4.390
975.44;2399.35;-4.390
980.42;2399.20;-4.390
985.41;2399.05;-4.390
990.39;2399.00;-4.390
995.38;2399.35;-4.390
1000.37;2399.35;-4.390
1005.34;2398.40;-4.380
1010.34;2398.50;-4.380
1015.33;2398.20;-4.370
1020.31;2398.15;-4.370
1025.29;2398.15;-4.370
1030.28;2396.60;-4.340
1035.25;2397.30;-4.360
1040.24;2397.75;-4.360
1045.23;2397.45;-4.360
1050.21;2397.50;-4.360
1055.20;2397.75;-4.360
1060.18;2397.80;-4.370
1065.16;2396.90;-4.350
1070.15;2396.75;-4.350
1075.14;2396.70;-4.350
1080.11;2397.00;-4.350
1085.10;2395.85;-4.330
1090.08;2396.45;-4.340
1095.08;2396.15;-4.340
1100.06;2396.45;-4.340
1105.04;2396.55;-4.340
1110.03;2395.95;-4.330
1115.01;2396.10;-4.340
1120.28;2397.15;-4.350
1125.27;2395.55;-4.330
1130.25;2396.80;-4.350
1135.23;2395.70;-4.330
1140.22;2395.05;-4.320
1145.20;2395.00;-4.320
1150.19;2394.90;-4.310
1155.17;2395.00;-4.320
1160.16;2394.80;-4.310
1165.14;2394.60;-4.310
1170.12;2397.75;-4.360
1175.10;2394.85;-4.310
1180.08;2399.80;-4.400
1185.07;2393.10;-4.280
1190.05;2395.10;-4.320
1195.05;2393.35;-4.290
1200.03;2393.80;-4.300
1205.01;2395.05;-4.320
1210.60;2394.20;-4.300
1215.58;2393.34;-4.290
1220.56;2393.38;-4.290
1225.54;2393.33;-4.284
1230.53;2393.83;-4.292
1235.51;2389.34;-4.214
1240.51;2392.99;-4.284
1245.49;2393.44;-4.288
1250.47;2394.47;-4.304
1255.45;2392.60;-4.276
1260.44;2392.86;-4.280
1265.43;2392.87;-4.280
1270.41;2392.90;-4.280
1275.39;2393.78;-4.294
1280.37;2392.36;-4.270
1285.36;2393.38;-4.286
1290.34;2392.73;-4.278
1295.32;2391.22;-4.250
1300.32;2391.57;-4.260
1305.29;2391.45;-4.254
1310.29;2391.45;-4.250
1315.28;2391.28;-4.250
