time[s];Vsg[mV];pH/ion concentration [mM]
5.43;1581.22;9.954
10.58;1589.37;9.812
15.42;1615.60;9.348
20.51;1589.03;9.812
25.03;1587.45;9.840
30.41;1655.99;8.640
35.51;1632.37;9.058
40.43;1560.10;10.322
45.42;1422.25;12.742
50.41;1338.89;14.204
55.39;1276.46;15.298
60.41;3740.68;-27.922
65.37;2365.56;-3.798
70.36;2362.32;-3.738
75.34;2359.85;-3.700
80.33;2357.95;-3.660
85.32;2356.44;-3.638
90.31;2355.97;-3.630
95.29;2355.15;-3.614
100.28;2355.00;-3.610
105.21;2354.80;-3.610
110.20;2354.88;-3.610
115.19;2354.95;-3.610
120.18;2353.98;-3.590
125.16;2354.00;-3.590
130.15;2353.03;-3.580
135.14;2352.97;-3.580
140.09;2352.02;-3.560
145.06;2353.01;-3.580
150.28;2354.00;-3.590
155.26;2355.00;-3.610
160.18;2354.00;-3.590
165.12;2353.94;-3.590
170.11;2352.22;-3.564
175.09;2350.92;-3.540
180.08;2349.98;-3.520
185.07;2349.48;-3.514
190.06;2349.57;-3.516
195.04;2348.98;-3.510
200.03;2350.37;-3.530
205.02;2349.98;-3.520
210.01;2349.02;-3.510
215.28;2349.00;-3.510
220.27;2348.00;-3.490
225.25;2347.35;-3.480
230.24;2346.95;-3.470
235.23;2348.00;-3.490
240.22;2348.00;-3.490
245.21;2348.95;-3.510
250.19;2348.95;-3.510
255.18;2348.95;-3.510
260.17;2349.00;-3.510
265.16;2349.70;-3.520
270.15;2349.90;-3.520
275.13;2349.00;-3.510
280.12;2348.90;-3.500
285.11;2348.00;-3.490
290.10;2348.00;-3.490
295.08;2349.00;-3.510
300.07;2350.25;-3.530
305.06;2349.30;-3.510
310.05;2349.00;-3.510
315.03;2348.00;-3.490
320.02;2347.95;-3.490
325.01;2347.70;-3.480
330.60;2347.44;-3.482
335.59;2349.04;-3.510
340.58;2348.96;-3.508
345.56;2347.84;-3.490
350.55;2347.83;-3.490
355.54;2347.83;-3.488
360.53;2347.95;-3.490
365.52;2347.35;-3.480
370.50;2345.99;-3.450
375.49;2347.17;-3.472
380.48;2346.84;-3.468
385.47;2347.15;-3.470
390.46;2344.08;-3.420
395.44;2342.00;-3.380
400.43;2344.80;-3.430
405.42;2345.20;-3.442
410.41;2346.16;-3.452
415.40;2346.02;-3.452
420.04;2346.70;-3.470
425.60;2345.65;-3.450
430.59;2346.00;-3.450
435.58;2346.60;-3.460
440.57;2345.05;-3.440
445.55;2342.10;-3.390
450.54;2339.95;-3.350
455.53;2342.65;-3.390
460.52;2342.55;-3.390
465.51;2344.00;-3.420
470.50;2342.15;-3.390
475.48;2339.00;-3.330
480.47;2342.00;-3.380
485.46;2338.00;-3.310
490.45;2331.95;-3.210
495.44;2322.30;-3.040
500.43;2309.80;-2.820
505.42;2316.50;-2.940
510.40;2320.00;-3.000
515.34;2320.15;-3.002
520.33;2314.76;-2.902
525.32;2312.76;-2.868
530.30;2311.96;-2.860
535.29;2313.40;-2.886
540.25;2316.04;-2.930
545.22;2316.12;-2.930
550.20;2317.03;-2.946
555.19;2317.85;-2.960
560.18;2317.72;-2.960
565.17;2318.25;-2.970
570.16;2319.15;-2.984
575.15;2321.04;-3.020
580.14;2317.76;-2.958
585.13;2317.06;-2.950
590.11;2318.03;-2.960
595.10;2318.08;-2.960
600.09;2317.76;-2.960
605.08;2315.56;-2.924
610.07;2313.94;-2.890
615.06;2312.47;-2.864
620.05;2310.71;-2.834
625.03;2309.98;-2.820
630.03;2309.98;-2.820
635.02;2309.97;-2.820
640.00;2307.08;-2.772
645.27;2309.00;-2.800
650.26;2309.65;-2.820
655.25;2310.00;-2.820
660.24;2309.05;-2.810
665.23;2307.20;-2.770
670.22;2306.00;-2.750
675.21;2305.15;-2.740
680.20;2303.00;-2.700
685.19;2302.45;-2.690
690.17;2301.00;-2.660
695.17;2299.95;-2.650
700.15;2301.95;-2.680
705.14;2302.00;-2.680
710.08;2302.60;-2.690
715.07;2303.00;-2.700
720.05;2302.35;-2.690
725.04;2303.00;-2.700
730.03;2303.00;-2.700
735.02;2303.95;-2.720
740.01;2303.95;-2.720
745.28;2302.00;-2.680
750.27;2297.05;-2.600
755.26;2292.85;-2.520
760.25;2281.05;-2.310
765.24;2271.75;-2.150
770.23;2262.00;-1.980
775.22;2254.55;-1.850
780.20;2248.05;-1.740
785.19;2243.00;-1.650
790.18;2239.00;-1.580
795.17;2236.05;-1.520
800.16;2234.95;-1.510
805.15;2233.95;-1.490
810.14;2229.40;-1.410
815.13;2225.30;-1.340
820.11;2223.25;-1.300
825.11;2223.90;-1.310
830.09;2224.00;-1.310
835.08;2224.00;-1.310
840.07;2225.10;-1.330
845.06;2226.95;-1.370
