time[s];Vsg[mV];pH/ion concentration [mM]
5.59;2363.69;-3.770
10.57;2364.55;-3.780
15.56;2364.62;-3.788
20.54;2364.61;-3.782
25.53;2364.46;-3.780
30.51;2364.47;-3.780
35.49;2364.47;-3.780
40.48;2364.73;-3.790
45.47;2364.55;-3.780
50.45;2364.59;-3.780
55.44;2364.53;-3.780
60.42;2364.41;-3.780
65.41;2364.58;-3.780
70.39;2364.40;-3.780
75.38;2364.35;-3.780
80.37;2364.44;-3.780
85.35;2364.28;-3.780
90.28;2364.30;-3.780
95.26;2364.28;-3.780
100.25;2364.27;-3.780
105.24;2364.28;-3.780
110.22;2363.71;-3.766
115.21;2364.02;-3.774
120.19;2364.08;-3.774
125.18;2360.86;-3.722
130.16;2363.25;-3.762
135.15;2362.91;-3.754
140.13;2363.47;-3.764
145.12;2370.92;-3.898
150.10;2364.17;-3.778
155.09;2363.41;-3.760
160.08;2363.75;-3.768
165.06;2360.10;-3.704
170.05;2361.06;-3.724
175.03;2363.38;-3.762
180.02;2365.99;-3.808
185.00;2357.84;-3.666
190.27;2357.55;-3.660
195.26;2347.55;-3.490
200.24;2347.75;-3.490
205.23;2363.00;-3.760
210.21;2362.30;-3.740
215.18;2359.15;-3.690
220.13;2359.95;-3.700
225.12;2360.70;-3.720
230.10;2356.70;-3.650
235.09;2358.75;-3.680
240.07;2361.50;-3.730
245.06;2362.40;-3.750
250.04;2363.30;-3.760
255.03;2361.80;-3.740
260.01;2359.35;-3.690
265.28;2351.05;-3.550
270.27;2348.40;-3.500
275.25;2345.05;-3.440
280.24;2343.45;-3.410
285.22;2343.10;-3.410
290.21;2342.40;-3.400
295.20;2345.90;-3.460
300.18;2341.80;-3.390
305.17;2341.55;-3.380
310.15;2341.35;-3.380
315.14;2341.50;-3.380
320.12;2342.60;-3.400
325.07;2342.60;-3.400
330.04;2346.75;-3.470
335.02;2342.90;-3.400
340.57;2342.36;-3.394
345.54;2342.45;-3.396
350.52;2342.61;-3.396
355.51;2342.55;-3.400
360.49;2340.60;-3.360
365.48;2340.53;-3.360
370.46;2340.76;-3.370
375.45;2340.83;-3.370
380.43;2340.87;-3.370
385.42;2340.96;-3.370
390.41;2340.92;-3.370
395.39;2340.86;-3.370
400.33;2341.14;-3.370
405.30;2340.65;-3.364
410.29;2340.88;-3.370
415.28;2341.12;-3.370
420.26;2340.91;-3.370
425.25;2341.32;-3.376
430.23;2341.00;-3.370
435.22;2341.10;-3.370
440.20;2340.33;-3.356
445.19;2341.05;-3.370
450.17;2341.10;-3.370
455.16;2341.08;-3.370
460.14;2341.14;-3.370
465.13;2340.95;-3.370
470.12;2340.91;-3.370
475.05;2341.14;-3.372
480.03;2340.85;-3.370
485.02;2340.95;-3.370
490.28;2341.00;-3.370
495.27;2340.95;-3.370
500.26;2340.85;-3.370
505.24;2340.85;-3.370
