time[s];Vsg[mV];pH/ion concentration [mM]
5.26;2339.10;-3.340
10.25;2339.40;-3.350
15.23;2338.55;-3.330
20.22;2338.55;-3.330
25.21;2339.90;-3.360
30.20;2338.90;-3.340
35.18;2339.40;-3.350
40.17;2340.15;-3.360
45.16;2339.35;-3.350
50.14;2341.10;-3.380
55.13;2342.25;-3.400
60.12;2343.05;-3.410
65.10;2344.00;-3.430
70.03;2344.41;-3.438
75.02;2345.23;-3.450
80.01;2345.75;-3.460
85.27;2346.40;-3.470
90.26;2346.75;-3.480
95.25;2346.85;-3.480
100.24;2346.95;-3.480
105.22;2346.65;-3.470
110.21;2346.65;-3.470
115.19;2346.10;-3.470
120.18;2345.55;-3.460
125.14;2345.65;-3.460
130.10;2345.70;-3.460
135.09;2345.65;-3.460
140.07;2345.95;-3.460
145.06;2345.95;-3.460
150.05;2346.35;-3.470
155.03;2346.30;-3.470
160.02;2346.30;-3.470
165.01;2346.40;-3.470
170.27;2346.50;-3.470
175.21;2346.70;-3.480
180.20;2346.60;-3.470
185.18;2346.80;-3.480
190.17;2346.75;-3.480
195.15;2347.00;-3.480
200.12;2346.95;-3.480
205.07;2347.05;-3.480
210.06;2347.40;-3.490
215.04;2347.55;-3.490
220.03;2347.50;-3.490
225.02;2347.70;-3.490
230.01;2347.80;-3.500
235.59;2348.10;-3.500
240.58;2348.01;-3.500
245.57;2348.17;-3.500
250.55;2348.20;-3.500
255.54;2348.31;-3.500
260.53;2348.46;-3.508
265.51;2348.39;-3.508
270.50;2348.49;-3.510
275.49;2348.70;-3.510
280.47;2348.99;-3.520
285.46;2348.96;-3.520
290.45;2348.92;-3.512
295.43;2349.16;-3.520
300.42;2349.23;-3.520
305.41;2349.22;-3.520
310.39;2349.44;-3.520
315.38;2349.50;-3.520
320.37;2349.56;-3.528
325.36;2349.57;-3.530
330.34;2349.90;-3.530
335.33;2349.90;-3.530
340.26;2349.99;-3.530
345.25;2349.88;-3.530
350.23;2350.05;-3.536
355.22;2350.20;-3.540
360.21;2349.93;-3.532
365.19;2350.47;-3.540
370.18;2350.52;-3.540
375.17;2350.59;-3.540
380.15;2350.27;-3.534
385.14;2350.73;-3.544
390.13;2348.88;-3.514
395.11;2351.14;-3.556
400.10;2351.08;-3.550
405.09;2348.74;-3.508
410.07;2351.12;-3.554
415.06;2349.31;-3.524
420.05;2350.63;-3.546
425.03;2350.87;-3.548
430.02;2352.03;-3.570
435.01;2350.62;-3.546
440.28;2349.35;-3.520
445.26;2343.20;-3.410
450.25;2347.00;-3.480
455.23;2350.80;-3.550
460.22;2350.80;-3.550
465.21;2359.50;-3.700
470.19;2358.00;-3.670
475.18;2357.80;-3.670
480.17;2353.20;-3.590
485.15;2358.20;-3.680
490.14;2350.05;-3.530
